,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
15,Thunder,0.502,0.89,4.0,-5.175,1.0,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880.0,4.0
16,Valentine,0.533,0.858,2.0,-4.212,1.0,0.0766,0.00021,0.0,0.148,0.506,160.057,audio_features,6mADjHs6FXdroPzEGW6KVJ,spotify:track:6mADjHs6FXdroPzEGW6KVJ,https://api.spotify.com/v1/tracks/6mADjHs6FXdroPzEGW6KVJ,https://api.spotify.com/v1/audio-analysis/6mADjHs6FXdroPzEGW6KVJ,205159.0,4.0
17,All Night,0.532,0.767,7.0,-5.509,1.0,0.0574,0.00287,0.000513,0.39,0.755,127.361,audio_features,2SiXAy7TuUkycRVbbWDEpo,spotify:track:2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,210173.0,4.0
18,Are You Gonna Go My Way,0.619,0.67,11.0,-10.322,0.0,0.0353,0.00165,0.0109,0.331,0.777,129.269,audio_features,45Ia1U4KtIjAPPU7Wv1Sea,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,https://api.spotify.com/v1/audio-analysis/45Ia1U4KtIjAPPU7Wv1Sea,211933.0,4.0
19,Awake,0.434,0.939,4.0,-2.983,0.0,0.0593,0.0425,0.0,0.491,0.569,159.932,audio_features,0nkzd3yNniB767zSDDdLZ3,spotify:track:0nkzd3yNniB767zSDDdLZ3,https://api.spotify.com/v1/tracks/0nkzd3yNniB767zSDDdLZ3,https://api.spotify.com/v1/audio-analysis/0nkzd3yNniB767zSDDdLZ3,209493.0,4.0
20,B.Y.O.B.,0.538,0.981,1.0,-2.688,0.0,0.14,0.00662,0.0,0.219,0.711,101.414,audio_features,0EYOdF5FCkgOJJla8DI2Md,spotify:track:0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md,255467.0,4.0
21,Beat It - Single Version,0.82,0.425,4.0,-12.67,0.0,0.362,0.0604,7.51e-06,0.209,0.424,177.369,audio_features,1giZzxMTWeFnwKZHigoowU,spotify:track:1giZzxMTWeFnwKZHigoowU,https://api.spotify.com/v1/tracks/1giZzxMTWeFnwKZHigoowU,https://api.spotify.com/v1/audio-analysis/1giZzxMTWeFnwKZHigoowU,278000.0,4.0
22,By The Way,0.451,0.97,0.0,-4.938,1.0,0.107,0.0264,0.00355,0.102,0.198,122.444,audio_features,1f2V8U1BiWaC9aJWmpOARe,spotify:track:1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/tracks/1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/audio-analysis/1f2V8U1BiWaC9aJWmpOARe,216933.0,4.0
23,Can't Stop,0.634,0.737,0.0,-5.732,1.0,0.03,0.113,0.000427,0.114,0.27,89.994,audio_features,62EsBz11VlUwSu3jFy7Rlo,spotify:track:62EsBz11VlUwSu3jFy7Rlo,https://api.spotify.com/v1/tracks/62EsBz11VlUwSu3jFy7Rlo,https://api.spotify.com/v1/audio-analysis/62EsBz11VlUwSu3jFy7Rlo,249573.0,4.0
24,Close To Me,0.799,0.506,2.0,-9.414,1.0,0.0606,0.0453,0.00107,0.0365,0.518,140.309,audio_features,5veJDT0MLsLbhYsx42GXUD,spotify:track:5veJDT0MLsLbhYsx42GXUD,https://api.spotify.com/v1/tracks/5veJDT0MLsLbhYsx42GXUD,https://api.spotify.com/v1/audio-analysis/5veJDT0MLsLbhYsx42GXUD,242667.0,4.0
25,First Of The Year (Equinox),0.429,0.948,5.0,-3.657,0.0,0.227,0.00711,0.0148,0.0812,0.55,115.785,audio_features,5i7fZq3chLyCHo3VeB6goD,spotify:track:5i7fZq3chLyCHo3VeB6goD,https://api.spotify.com/v1/tracks/5i7fZq3chLyCHo3VeB6goD,https://api.spotify.com/v1/audio-analysis/5i7fZq3chLyCHo3VeB6goD,261517.0,3.0
26,Go With The Flow,0.242,0.992,4.0,-3.9,0.0,0.0988,0.0148,0.113,0.833,0.374,159.37,audio_features,45DElIx0dXqUH4A88yQFdE,spotify:track:45DElIx0dXqUH4A88yQFdE,https://api.spotify.com/v1/tracks/45DElIx0dXqUH4A88yQFdE,https://api.spotify.com/v1/audio-analysis/45DElIx0dXqUH4A88yQFdE,187120.0,4.0
27,Heart-Shaped Box,0.256,0.641,1.0,-10.283,1.0,0.0552,0.199,0.0329,0.0853,0.382,203.006,audio_features,11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,281160.0,4.0
28,I Was Made For Lovin' You,0.768,0.852,4.0,-6.215,1.0,0.038,0.214,7.36e-05,0.0723,0.867,128.373,audio_features,07q0QVgO56EorrSGHC48y3,spotify:track:07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/audio-analysis/07q0QVgO56EorrSGHC48y3,271240.0,4.0
29,Midnight,0.526,0.712,11.0,-6.525,0.0,0.0356,0.0161,0.0,0.179,0.32,105.009,audio_features,1eyzqe2QqGZUmfcPZtrIyt,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,241440.0,4.0
30,No One Knows,0.507,0.588,0.0,-4.881,1.0,0.0641,0.0359,0.000129,0.373,0.637,170.889,audio_features,6NvRxjfYkkT2SpirAlmsjH,spotify:track:6NvRxjfYkkT2SpirAlmsjH,https://api.spotify.com/v1/tracks/6NvRxjfYkkT2SpirAlmsjH,https://api.spotify.com/v1/audio-analysis/6NvRxjfYkkT2SpirAlmsjH,278707.0,4.0
31,Not In Love,0.714,0.802,1.0,-5.339,1.0,0.0382,0.0557,0.0,0.0664,0.882,132.005,audio_features,21AziTMaZwcLflGMAj85o5,spotify:track:21AziTMaZwcLflGMAj85o5,https://api.spotify.com/v1/tracks/21AziTMaZwcLflGMAj85o5,https://api.spotify.com/v1/audio-analysis/21AziTMaZwcLflGMAj85o5,182507.0,4.0
32,"Right Here, Right Now",0.657,0.608,2.0,-13.565,1.0,0.0287,0.0088,3.45e-06,0.103,0.723,106.862,audio_features,3fcGGP62sllcNEhuFJVYeC,spotify:track:3fcGGP62sllcNEhuFJVYeC,https://api.spotify.com/v1/tracks/3fcGGP62sllcNEhuFJVYeC,https://api.spotify.com/v1/audio-analysis/3fcGGP62sllcNEhuFJVYeC,189293.0,4.0
33,Self Esteem,0.488,0.862,0.0,-7.595,1.0,0.0476,0.0204,0.0,0.359,0.706,104.56,audio_features,1FkoVC85Ds3mFoK0fVqEqP,spotify:track:1FkoVC85Ds3mFoK0fVqEqP,https://api.spotify.com/v1/tracks/1FkoVC85Ds3mFoK0fVqEqP,https://api.spotify.com/v1/audio-analysis/1FkoVC85Ds3mFoK0fVqEqP,257827.0,4.0
